taxon_id,n_significant_diseases,significant_diseases,avg_auc_effect,max_auc_effect,score
158787,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2641065,0.2901933333333333,1.056426
908612,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2634866111111111,0.30600666666666665,1.0539464444444444
665951,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2623967222222222,0.29154,1.0495868888888888
1596,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2599877222222222,0.29266666666666663,1.0399508888888889
100884,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.25901722222222223,0.28292,1.036068888888889
310298,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.25562644444444443,0.27190000000000003,1.0225057777777777
1318,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2479865,0.27601600000000004,0.991946
454154,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.24151511111111112,0.27251333333333333,0.9660604444444445
28123,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.14130483333333332,0.18813000000000002,0.5652193333333333
150055,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.137006,0.16778399999999993,0.548024
93220,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.12803405555555555,0.17113,0.5121362222222222
35701,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.12753977777777778,0.17100000000000004,0.5101591111111111
501571,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.1267081666666667,0.15396999999999994,0.5068326666666668
1304,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.12559572222222223,0.1715899999999999,0.5023828888888889
234908,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.12495883333333332,0.16329000000000005,0.4998353333333333
328812,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.11929283333333332,0.136088,0.4771713333333333
1689,3,"['D015212', 'D009765', 'D003924']",0.15571844444444446,0.17242999999999997,0.46715533333333337
28111,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.11643394444444446,0.14788999999999997,0.46573577777777786
39496,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.11581516666666666,0.14790399999999992,0.46326066666666665
84980,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.11557283333333335,0.14744800000000002,0.4622913333333334
29361,3,"['D015212', 'D009765', 'D003924']",0.15378599999999998,0.16988999999999987,0.46135799999999993
556262,3,"['D015212', 'D009765', 'D003924']",0.14619355555555566,0.1683840000000001,0.43858066666666695
1352,3,"['D015212', 'D009765', 'D003924']",0.14579177777777777,0.17016999999999993,0.43737533333333334
28133,3,"['D015212', 'D009765', 'D003924']",0.1450015555555555,0.18747000000000003,0.4350046666666665
852,3,"['D015212', 'D009765', 'D003924']",0.14464688888888888,0.17354999999999998,0.43394066666666664
187327,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.10705638888888885,0.1413899999999999,0.4282255555555554
103892,3,"['D015212', 'D009765', 'D003924']",0.14180333333333336,0.15338999999999992,0.42541000000000007
33039,3,"['D015212', 'D009765', 'D003924']",0.14137844444444445,0.15959200000000007,0.4241353333333333
2145,3,"['D015212', 'D009765', 'D003924']",0.14123644444444447,0.16145999999999994,0.4237093333333334
487173,3,"['D015212', 'D009765', 'D003924']",0.13821600000000003,0.18157999999999996,0.4146480000000001
1097668,3,"['D015212', 'D009765', 'D003924']",0.13767688888888885,0.16584,0.41303066666666655
338188,3,"['D015212', 'D009765', 'D003924']",0.13647333333333334,0.15112000000000003,0.40942
360807,3,"['D015212', 'D009765', 'D003924']",0.13564,0.14229999999999998,0.40692000000000006
