taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
1381,D015212,0.0011397987552790884,0.4313666666666667,0.06863333333333332,0.004361108860734882,0.0034627739178397397,decreased,500,300
1502,D015212,6.905687480222208e-55,0.17084666666666667,0.3291533333333333,0.004674286520995853,0.0010083506116545012,decreased,500,300
1531,D015212,0.00648942199311313,0.44258000000000003,0.05741999999999997,0.004520455884099378,0.0037428960225412873,decreased,500,300
1583,D015212,0.0001651672386334637,0.5794666666666666,0.07946666666666657,0.005110054381453061,0.006951216883995291,increased,500,300
1584,D015212,0.02498704321160636,0.4527133333333333,0.0472866666666667,0.004353346193924479,0.003734836857252688,decreased,500,300
1596,D015212,9.139688476261232e-44,0.20733333333333337,0.29266666666666663,0.004317347855501666,0.0010210254838787852,decreased,500,300
1598,D015212,2.8712683236989007e-20,0.6945733333333333,0.19457333333333326,0.0043979367069050855,0.009644354366046165,increased,500,300
1604,D015212,6.85355190157245e-07,0.6047466666666668,0.10474666666666677,0.0047114955533628785,0.006779399651910308,increased,500,300
1623,D015212,0.011556725931731663,0.4467266666666667,0.053273333333333284,0.00449617756411271,0.0036914801594226552,decreased,500,300
1630,D015212,8.643147903961517e-41,0.2178866666666667,0.2821133333333333,0.004557270828742019,0.0012119841075985012,decreased,500,300
1680,D015212,0.2989016572693949,0.4780866666666667,0.021913333333333285,0.004387186560456682,0.003817606740328491,decreased,500,300
1681,D015212,1.00015135507203e-10,0.63642,0.13641999999999999,0.004584923114878283,0.007138208292321209,increased,500,300
1683,D015212,0.002527866783493499,0.4362933333333333,0.06370666666666669,0.004961663320159349,0.0037412430065303487,decreased,500,300
1685,D015212,3.520160750336024e-46,0.19904,0.30096,0.0045257727477294,0.0011393651946312916,decreased,500,300
1686,D015212,0.014748772371657724,0.44856,0.051439999999999986,0.004558330180905818,0.003769951409864313,decreased,500,300
1689,D015212,7.306064779538339e-12,0.6445333333333334,0.1445333333333334,0.004574518156661682,0.007595604076806999,increased,500,300
1735,D015212,0.0005161635296850679,0.4267533333333333,0.07324666666666668,0.0043849621554516134,0.00340736976204364,decreased,500,300
1747,D015212,1.0343442436657768e-47,0.19389333333333336,0.30610666666666664,0.004509040674204044,0.0011356427155715671,decreased,500,300
2111,D015212,3.72461240770321e-26,0.7231666666666667,0.22316666666666674,0.004192364868505315,0.01162919083757045,increased,500,300
2145,D015212,8.62057592480785e-12,0.6440333333333333,0.14403333333333335,0.004337802557368905,0.00813270926001766,increased,500,300
2173,D015212,0.001872532083424065,0.43439999999999995,0.06560000000000005,0.004586422822328314,0.00363197156012927,decreased,500,300
2724,D015212,3.552936924534617e-59,0.15780666666666665,0.34219333333333335,0.004833125050696788,0.0009572500380633309,decreased,500,300
28026,D015212,0.30170356580403423,0.4782133333333333,0.021786666666666676,0.004325803606402568,0.0039352166327663,decreased,500,300
28111,D015212,9.033372789070984e-10,0.62922,0.12922,0.004347138047383764,0.00731586609778667,increased,500,300
28116,D015212,0.235099107606476,0.47495333333333334,0.02504666666666666,0.004304565644493325,0.003844413853455393,decreased,500,300
28117,D015212,9.771609393549044e-47,0.19716,0.30284,0.004571755761382999,0.0010772082301064273,decreased,500,300
