mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.052470731735229495,0.006205549230944882,0.013494586944580078,0.004062034142908935,0.01,2,0.1,rbf,"{'C': 0.01, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}",0.3416666666666667,0.30833333333333335,0.35,0.3333333333333333,0.35833333333333334,0.3383333333333333,0.017159383568311662,233
0.039974546432495116,0.004952279723443943,0.0063685417175292965,0.0020849631572745493,0.01,2,0.1,poly,"{'C': 0.01, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.4666666666666667,0.425,0.4708333333333333,0.45,0.4708333333333333,0.45666666666666667,0.0175989267349524,216
0.021851873397827147,0.005192018664456942,0.005201530456542969,0.0021496150981859235,0.01,2,1,linear,"{'C': 0.01, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
0.05175261497497559,0.006263420247313883,0.015076398849487305,0.0050595309290198875,0.01,2,1,rbf,"{'C': 0.01, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}",0.25833333333333336,0.26666666666666666,0.25,0.25,0.25416666666666665,0.2558333333333333,0.006236095644623237,265
0.03130326271057129,0.0033608506951063994,0.007543325424194336,0.0019452338825685577,0.01,2,1,poly,"{'C': 0.01, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.6416666666666667,0.5875,0.5083333333333333,0.5916666666666667,0.5458333333333333,0.575,0.04510789534241456,170
0.018834590911865234,0.0025707920628176926,0.004625988006591797,0.001576704309232966,0.01,3,scale,linear,"{'C': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
0.05003762245178223,0.008065150018307918,0.014873600006103516,0.0036048014651645826,0.01,3,scale,rbf,"{'C': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.5583333333333333,0.5708333333333333,0.5416666666666666,0.6041666666666666,0.575,0.57,0.020649186155606437,186
0.03880553245544434,0.004571218591782256,0.007182264328002929,0.0018255450298052239,0.01,3,scale,poly,"{'C': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.35,0.35,0.26666666666666666,0.25416666666666665,0.2833333333333333,0.3008333333333333,0.04119735698102758,237
0.02179851531982422,0.003793053795096256,0.004074716567993164,0.0007267668397800308,0.01,3,auto,linear,"{'C': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
0.04671158790588379,0.010451455863954162,0.016391229629516602,0.006657468925350495,0.01,3,auto,rbf,"{'C': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",0.5541666666666667,0.5708333333333333,0.5416666666666666,0.6041666666666666,0.575,0.5691666666666666,0.02118044171189805,189
0.037064409255981444,0.007621034714516476,0.0060750007629394535,0.0024556096741074436,0.01,3,auto,poly,"{'C': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.35,0.35,0.26666666666666666,0.25416666666666665,0.2833333333333333,0.3008333333333333,0.04119735698102758,237
0.0195253849029541,0.003891988697123219,0.003936290740966797,0.0007640336058720395,0.01,3,0.001,linear,"{'C': 0.01, 'degree': 3, 'gamma': 0.001, 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
