run_id,relative_abundance,phenotype,ncbi_taxon_id
ERR2056947,0.011868,D015212,28137
ERR2057179,0.0965686,D015212,28137
ERR1091013,0.00238095,D015212,28137
ERR1091024,0.107777,D015212,28137
ERR1091106,0.00286878,D015212,28137
ERR1091433,0.00118051,D015212,28137
ERR1091489,0.00439001,D015212,28137
ERR1091575,0.00681745,D015212,28137
SRR3400419,0.000440696,D015212,2724
SRR3400420,0.000546977,D015212,2724
SRR3400422,0.000983507,D015212,2724
SRR3400424,0.000890033,D015212,2724
SRR3400425,0.000485982,D015212,2724
SRR3400428,0.000338691,D015212,2724
SRR3400430,0.000717901,D015212,2724
SRR3400431,0.0015275,D015212,2724
SRR3400432,0.00145611,D015212,2724
SRR3400437,0.000353977,D015212,2724
SRR3400439,0.000320858,D015212,2724
SRR3400441,0.00128945,D015212,2724
SRR3400442,0.00315027,D015212,2724
SRR3400443,0.000710964,D015212,2724
SRR3400445,0.0018609,D015212,2724
SRR3400447,0.000549119,D015212,2724
SRR3400448,0.000196157,D015212,2724
SRR3400453,0.00043259,D015212,2724
SRR3400454,0.00103835,D015212,2724
SRR3400455,0.000552385,D015212,2724
SRR3400456,0.0010893,D015212,2724
SRR3400466,0.000762806,D015212,2724
SRR3400467,0.000643857,D015212,2724
SRR5396455,0.0632774,D015212,2724
SRR5396479,0.00355695,D015212,2724
SRR5396484,0.00449741,D015212,2724
SRR5396499,0.00647124,D015212,2724
ERR1090989,0.0104238,D015212,2724
ERR1091445,0.00431667,D015212,2724
SRR3400417,0.00288834,D015212,167
SRR3400418,0.00238783,D015212,167
SRR3400419,0.00176278,D015212,167
SRR3400420,0.0024614,D015212,167
SRR3400421,0.000759699,D015212,167
SRR3400422,0.00295052,D015212,167
SRR3400423,0.00223833,D015212,167
SRR3400424,0.00118671,D015212,167
SRR3400425,0.00145795,D015212,167
SRR3400426,0.00256969,D015212,167
SRR3400428,0.00237084,D015212,167
SRR3400429,0.00123828,D015212,167
SRR3400430,0.0014358,D015212,167
SRR3400431,0.001222,D015212,167
SRR3400432,0.000485369,D015212,167
SRR3400433,0.00108234,D015212,167
SRR3400434,0.00563836,D015212,167
SRR3400435,0.00138946,D015212,167
SRR3400436,0.0024189,D015212,167
SRR3400437,0.000707955,D015212,167
SRR3400439,0.000962575,D015212,167
SRR3400441,0.0025789,D015212,167
SRR3400442,0.00315027,D015212,167
SRR3400443,0.00497675,D015212,167
SRR3400444,0.00253665,D015212,167
SRR3400445,0.000531684,D015212,167
SRR3400446,0.000981094,D015212,167
SRR3400447,0.000549119,D015212,167
SRR3400448,0.000588471,D015212,167
SRR3400450,0.00167924,D015212,167
SRR3400451,0.000616129,D015212,167
SRR3400453,0.000865179,D015212,167
SRR3400454,0.00259587,D015212,167
SRR3400455,0.000828578,D015212,167
SRR3400465,0.000564592,D015212,167
SRR3400466,0.00152561,D015212,167
SRR3400467,0.000965785,D015212,167
SRR6424550,0.00195435,D015212,167
SRR6424636,0.00445295,D015212,167
SRR6424637,0.00250426,D015212,167
SRR6424642,0.016546,D015212,167
SRR6424696,0.00214105,D015212,167
SRR6424755,0.00418945,D015212,167
SRR6424759,0.00540526,D015212,167
SRR6424793,0.0022406,D015212,167
SRR6424802,0.0061121,D015212,167
SRR6424807,0.00318644,D015212,167
SRR3400417,0.0162191,D015212,850
SRR3400418,0.00318378,D015212,850
SRR3400419,0.00308487,D015212,850
SRR3400420,0.00410233,D015212,850
SRR3400421,0.00759699,D015212,850
SRR3400422,0.00950723,D015212,850
SRR3400423,0.00610453,D015212,850
SRR3400424,0.0124605,D015212,850
SRR3400425,0.0053458,D015212,850
SRR3400426,0.00163525,D015212,850
SRR3400428,0.0169346,D015212,850
SRR3400429,0.0140339,D015212,850
SRR3400430,0.0035895,D015212,850
SRR3400431,0.00427699,D015212,850
SRR3400432,0.000485369,D015212,850
SRR3400433,0.012988,D015212,850
SRR3400434,0.00322192,D015212,850
SRR3400435,0.00277892,D015212,850
SRR3400436,0.0040315,D015212,850
SRR3400437,0.00283182,D015212,850
SRR3400439,0.00160429,D015212,850
SRR3400440,0.00137738,D015212,850
SRR3400441,0.00601744,D015212,850
SRR3400442,0.00735063,D015212,850
SRR3400443,0.00284386,D015212,850
SRR3400444,0.0208006,D015212,850
SRR3400445,0.00930448,D015212,850
SRR3400446,0.0262443,D015212,850
SRR3400447,0.0334962,D015212,850
SRR3400448,0.0188311,D015212,850
SRR3400450,0.0100754,D015212,850
SRR3400451,0.0375839,D015212,850
SRR3400452,0.00691994,D015212,850
SRR3400453,0.0237924,D015212,850
SRR3400454,0.00674925,D015212,850
SRR3400455,0.031486,D015212,850
SRR3400456,0.00944057,D015212,850
SRR3400465,0.00282296,D015212,850
SRR3400467,0.00289736,D015212,850
SRR5218294,0.0126969,D015212,850
SRR5218295,0.00702253,D015212,850
SRR5218296,0.00585596,D015212,850
SRR5218298,0.00742579,D015212,850
SRR5218300,0.00301087,D015212,850
SRR5218301,0.0226614,D015212,850
SRR5218303,0.00263695,D015212,850
SRR5218292,0.0795366,D015212,850
SRR5218368,0.011632,D015212,850
SRR5218377,0.00427698,D015212,850
SRR5218380,0.00443145,D015212,850
SRR5218385,0.00618633,D015212,850
SRR5218386,0.00191718,D015212,850
SRR5218387,0.0023291,D015212,850
SRR5218392,1.92485,D015212,850
SRR5218393,0.00326403,D015212,850
SRR5218395,0.00488794,D015212,850
SRR5218397,0.0019324,D015212,850
SRR5396464,0.00325807,D015212,850
SRR6424539,0.0016952,D015212,850
SRR6424546,0.0106678,D015212,850
SRR6424698,0.0102093,D015212,850
SRR6424701,0.00217443,D015212,850
SRR6424793,0.00896238,D015212,850
ERR1090131,0.00493998,D015212,850
ERR1160361,0.00217096,D015212,850
ERR1390026,0.0116636,D015212,850
ERR1160614,0.0243877,D015212,850
ERR1074630,0.00427515,D015212,850
ERR2319373,0.00465051,D015212,850
ERR1551512,0.00305064,D015212,850
ERR2314018,0.00337667,D015212,850
ERR1546067,0.00698812,D015212,850
ERR1597045,0.0648859,D015212,850
ERR1090614,0.0062822,D015212,850
ERR1854719,0.0186858,D015212,850
ERR1854728,0.00508854,D015212,850
ERR2057086,0.0394361,D015212,850
ERR2057179,0.00643791,D015212,850
ERR2092070,0.604557,D015212,850
ERR1091169,0.0318389,D015212,850
ERR695624,0.0138,D015212,550
ERR695625,0.00573,D015212,550
SRR3400417,0.00266616,D015212,550
SRR3400418,0.000795944,D015212,550
SRR3400421,0.00037985,D015212,550
SRR3400422,0.000655671,D015212,550
SRR3400428,0.00508037,D015212,550
SRR3400429,0.00247657,D015212,550
SRR3400431,0.001833,D015212,550
SRR3400432,0.00145611,D015212,550
SRR3400433,0.000360779,D015212,550
SRR3400434,0.00120822,D015212,550
SRR3400436,0.00134383,D015212,550
SRR3400439,0.000320858,D015212,550
SRR3400443,0.00426579,D015212,550
SRR3400444,0.00101466,D015212,550
SRR3400445,0.00106337,D015212,550
SRR3400446,0.000735821,D015212,550
SRR3400447,0.00201344,D015212,550
SRR3400448,0.000392314,D015212,550
SRR3400450,0.00167924,D015212,550
SRR3400451,0.0034914,D015212,550
SRR3400452,0.00230665,D015212,550
SRR3400453,0.00173036,D015212,550
SRR3400454,0.000519173,D015212,550
SRR3400455,0.000828578,D015212,550
SRR3400456,0.000363099,D015212,550
SRR5650105,0.03786,D015212,550
SRR5650032,0.22569,D015212,550
SRR5650189,0.00227,D015212,550
SRR5650098,0.00287,D015212,550
SRR5650107,0.07362,D015212,550
SRR5651398,18.4077,D015212,550
SRR5650153,0.04888,D015212,550
SRR5650173,0.0094,D015212,550
SRR5651403,86.0106,D015212,550
SRR5650138,0.04923,D015212,550
SRR5651394,22.6749,D015212,550
SRR5651401,0.40837,D015212,550
SRR5650136,0.01379,D015212,550
SRR5651402,0.22496,D015212,550
SRR6424522,0.00217113,D015212,550
SRR6424539,0.00339041,D015212,550
SRR6424540,0.00782309,D015212,550
SRR6424541,0.00473709,D015212,550
SRR6424546,0.00177797,D015212,550
SRR6424549,0.0395507,D015212,550
SRR6424550,0.0547217,D015212,550
SRR6424551,0.0482146,D015212,550
SRR6424552,0.0463106,D015212,550
SRR6424554,0.0656435,D015212,550
SRR6424555,0.083654,D015212,550
SRR6424556,0.0717805,D015212,550
SRR6424697,0.0132952,D015212,550
SRR6424700,0.0396219,D015212,550
SRR6424703,0.0043692,D015212,550
SRR6424756,0.00220731,D015212,550
SRR6424758,0.00209472,D015212,550
SRR6424793,0.0134436,D015212,550
SRR6424796,0.0592984,D015212,550
SRR6424801,0.00190422,D015212,550
SRR6424802,0.00305605,D015212,550
SRR6424803,0.0127592,D015212,550
SRR6424804,0.0137208,D015212,550
SRR6424805,0.00446575,D015212,550
SRR6424806,0.0105159,D015212,550
SRR6424810,0.00228843,D015212,550
ERR1160718,0.000273595,D015212,550
